"name","run.no.in.std.order","run.no","run.no.std.rp","sizea","sizeb","temp","Blocks"
"1128","68",1128,"68.10","8","1","tt",".10"
"1129","95",1129,"95.10","7","8","tt",".10"
"1133","77",1133,"77.10","5","4","tt",".10"
"1135","117",1135,"117.10","5","14","tt",".10"
"1136","103",1136,"103.10","7","10","tt",".10"
"1137","69",1137,"69.10","5","2","tt",".10"
"1138","75",1138,"75.10","7","3","tt",".10"
"1141","80",1141,"80.10","8","4","tt",".10"
"1142","92",1142,"92.10","8","7","tt",".10"
"1147","81",1147,"81.10","5","5","tt",".10"
"1148","105",1148,"105.10","5","11","tt",".10"
"1149","91",1149,"91.10","7","7","tt",".10"
"1150","76",1150,"76.10","8","3","tt",".10"
"1155","63",1155,"63.10","7","0","tt",".10"
"1156","88",1156,"88.10","8","6","tt",".10"
"1157","78",1157,"78.10","6","4","tt",".10"
"1158","110",1158,"110.10","6","12","tt",".10"
"1159","96",1159,"96.10","8","8","tt",".10"
"1160","73",1160,"73.10","5","3","tt",".10"
"1161","62",1161,"62.10","6","0","tt",".10"
